u,g,r,i,z,CLASS
19.0611,18.8302,18.8291,18.6686,18.4951,QSO
21.8812,19.6872,18.4651,17.9766,17.6064,GALAXY
21.3396,19.462,18.415,17.8319,17.3913,GALAXY
20.6224,19.533,18.983,18.6139,18.463,GALAXY
21.3852,20.0511,18.7781,18.3716,18.1433,QSO
19.7299,18.7982,18.3531,18.0236,17.8474,GALAXY
20.9078,19.0252,18.1261,17.7276,17.4094,GALAXY
20.8948,19.6411,18.9891,18.6405,18.3912,GALAXY
20.3669,19.0611,18.3491,17.9579,17.6863,GALAXY
21.1912,19.1642,18.1761,17.7196,17.3755,GALAXY
20.2837,18.7141,17.8231,17.3409,16.9923,GALAXY
19.67,19.5292,19.5011,19.2445,19.251,QSO
21.602,20.4058,19.9478,19.6441,19.4624,GALAXY
21.2479,19.3429,18.5179,18.1482,17.8515,GALAXY
20.3236,19.4509,19.4549,19.2752,19.304,GALAXY
21.5892,19.7132,18.4432,17.9506,17.5834,GALAXY
23.6086,22.0451,20.4086,19.6431,19.1813,GALAXY
20.1406,18.5675,17.763,17.2825,16.9471,GALAXY
23.455,22.0507,20.4077,19.6254,19.0321,GALAXY
20.0849,19.7062,19.1141,18.7076,18.4911,QSO
19.4872,18.9313,18.7952,18.7516,18.5731,QSO
20.15,18.7743,18.1342,17.7396,17.4835,GALAXY
21.0338,19.6192,18.9002,18.4986,18.2333,GALAXY
18.9703,17.8173,17.8072,17.8706,18.0084,STAR
20.2209,19.0813,18.6272,18.2776,18.0973,GALAXY
24.2397,22.1713,20.5087,19.7027,19.2349,GALAXY
21.4343,19.8372,19.0552,18.6486,18.3442,GALAXY
20.6287,18.8822,18.0281,17.5839,17.2913,GALAXY
20.102,19.2323,18.9522,18.6766,18.626,GALAXY
17.8661,17.6032,17.6292,17.7146,17.8604,STAR
19.7302,19.6693,19.2862,19.3245,19.4992,QSO
20.0522,18.6923,18.0472,17.6576,17.3715,GALAXY
23.3027,21.0354,19.4009,18.8062,18.4293,GALAXY
21.9433,21.3405,20.2398,20.1791,20.3674,HIZ_QSO
21.1516,19.4193,18.5692,18.1826,17.8934,GALAXY
20.4714,18.5375,17.605,17.1035,16.7701,GALAXY
20.0258,18.2395,17.428,17.0215,16.7051,GALAXY
21.5493,20.5673,20.0479,19.7353,19.449,GALAXY
21.9267,20.1649,19.0049,18.4473,18.1205,GALAXY
20.7155,19.0983,18.2842,17.8406,17.5205,GALAXY
20.8994,19.4692,18.8421,18.5399,18.3291,GALAXY
23.0546,20.7717,19.157,18.5703,18.1695,GALAXY
19.3535,17.3442,16.4501,16.0239,15.6674,GALAXY
21.9141,20.3141,20.116,20.0342,20.0796,HIZ_QSO
20.7224,18.837,17.937,17.4773,17.0696,GALAXY
20.395,18.5732,17.7411,17.3269,17.0003,GALAXY
21.1407,19.9923,19.4902,19.2175,19.0246,GALAXY
20.6804,19.165,18.423,17.9773,17.6516,GALAXY
20.6278,18.7452,17.9031,17.4939,17.2093,GALAXY
20.1166,19.0925,18.704,18.3915,18.1709,GALAXY
22.0014,20.0527,18.7352,18.1448,17.7457,GALAXY
20.1857,18.3498,17.4612,17.0018,16.6848,GALAXY
20.2105,18.3575,17.561,17.1615,16.8401,GALAXY
19.8927,19.2847,19.2501,19.1847,18.938,HIZ_QSO
21.5749,19.8074,19.014,18.6365,18.3158,GALAXY
